Respondent_ID,Price,Safety,Exterior_Looks,Space_Comfort,Technology,After_Sales_Service,Resale_Value,Fuel_Type,Fuel_Efficiency,Color,Maintenance,Test_drive,Product_Reviews,Testimonials,Overall Cost,Comfort and Fuel Efficiency,Review Confirmer,Service,Color Trumps All
1,4,4,5,4,3,4,5,4,4,2,4,2,4,3,0.6577449170249781,-0.328680621674902,-0.8337120243271484,-0.46738097319385546,-1.6269919988515893
2,3,5,3,3,4,4,3,4,3,4,3,2,2,2,-1.5233885280082484,-0.9282483453770185,-1.994136086324186,-0.08764889752460245,0.916242531703153
3,4,4,3,4,5,5,5,4,5,4,5,4,4,3,0.921883628771701,0.03382489914364214,-0.40109580667575034,0.9398570074005862,0.4769651759748631
4,4,4,4,3,3,4,5,5,4,4,4,2,5,3,0.6747079108128025,-1.0720620285532019,-0.7367942143598237,-0.2147489718455407,0.2614912083429597
5,5,5,4,4,5,4,5,3,4,5,5,5,5,2,1.4653584301194307,-0.00610079606210573,-0.37934434479435575,-0.6868250407873848,0.7535226326725943
6,4,4,5,3,4,5,3,4,3,2,3,2,2,3,-1.1813835587612347,-1.1131204451817256,-1.4929777735727559,1.416651634012578,-1.4355839792834435
7,3,4,3,4,3,5,3,4,5,4,3,5,2,4,-1.2742986094812279,-0.24977539149232114,0.1442942981173146,1.336882072987711,0.4857556588097837
8,4,3,4,4,5,4,5,4,4,4,5,2,4,4,0.9836291522089088,-0.18120205034502632,0.009772963408813203,-0.7130945023092267,0.06845797673439778
9,5,4,5,4,3,5,5,4,4,4,4,2,4,4,0.7329123818483171,0.006966112257344806,-0.20449030323664036,0.8315741404179459,-0.3618544654453412
10,4,4,3,3,5,4,5,5,4,5,5,2,2,4,0.3851345211316179,-1.0040178709619283,-0.8358750617319785,-0.33176857120450814,1.377264074118922
11,5,4,3,4,5,5,5,3,4,4,4,2,5,4,0.7782650039299011,0.09963312338919082,-0.24253884681379878,0.6833177738623712,0.32696929599374824
12,4,3,4,3,5,5,5,4,4,5,5,5,5,4,0.8397353308405652,-1.2813124012991128,0.6805878946579389,1.344151902951603,0.66292307541758
13,4,4,5,4,3,4,5,4,4,2,5,5,4,3,0.9843595041105093,-0.5286869228337526,-0.2676063511512815,-0.2894377129845539,-1.7578483955723474
14,5,5,3,4,5,5,3,4,3,5,4,2,3,3,-0.44951082036621465,0.7043431222253422,-1.2584583164709504,0.5803453859137244,1.3621091959755436
15,4,3,4,3,4,4,5,4,4,4,5,5,5,4,1.0208438603241208,-1.5867535488290305,0.6240282766273121,-0.055649200042179124,-0.040947368958870994
16,5,4,3,4,3,5,5,5,5,5,4,2,5,3,1.1296209211552002,0.4671170238855915,-0.6547345857148552,0.760530527912787,1.1666227560895404
17,4,4,4,4,4,4,5,3,4,2,5,5,5,4,0.9599058061615878,-0.6648380642303656,0.4007437690828383,-0.39850106261729035,-1.4820409918578483
18,4,4,3,4,5,5,3,4,5,4,5,4,4,4,0.1248212435378236,0.06618387913581864,0.352375068486002,0.8199373069379741,0.609861749979102
19,5,5,3,3,5,5,5,4,5,5,5,2,4,4,0.9572137312608439,-0.8675439698495997,-0.4503907681652913,0.970007880665649,1.3871931822189065
20,4,4,3,4,4,5,5,4,5,4,5,2,4,3,0.8975893722990752,0.10420651463123196,-0.7737052112166258,0.8496305640716517,0.5975038410831203
21,5,4,4,4,5,5,5,5,4,4,5,5,3,3,1.0180984582168537,0.2597137032120437,-0.6662309472882288,0.9244576409457088,-0.02956285159526237
22,4,3,3,3,5,4,5,3,4,5,4,4,5,4,0.6271753560742617,-1.5042512618846466,0.5206549898944095,-0.1569061775409963,0.9927317487137235
23,4,4,3,4,5,5,5,4,5,4,5,4,4,3,0.921883628771701,0.03382489914364214,-0.40109580667575034,0.9398570074005862,0.4769651759748631
24,5,4,3,4,5,5,5,4,5,4,4,2,5,3,1.1470846337193628,0.3085518944034032,-0.6778676617932407,0.6932228320200097,0.45374775379879695
25,4,4,4,4,4,5,5,5,4,4,5,5,5,4,0.8093131051713522,0.05041542399583407,0.3706699735947835,0.9775708024261287,-0.02228711898085375
26,5,3,5,3,3,4,5,3,4,5,5,5,4,4,1.2716333409151304,-1.7566846208254911,0.7805192687986922,-0.06439017555358689,0.19092609879236533
27,3,5,3,4,4,5,3,4,3,4,4,2,2,3,-1.4142215732836108,0.32750263417553305,-1.4401450001556444,0.9361591778455916,0.8186773078509816
28,4,4,3,4,5,4,3,4,5,4,5,4,4,3,0.44226224943843523,-0.012112639006837352,-0.04896650395655624,-0.6621989337582571,0.668042484548825
29,4,4,3,3,5,5,5,5,4,5,4,2,5,4,0.3359045624827724,-0.7342384903790684,-0.344214139561749,1.096466106572952,1.2804904976616427
30,5,3,4,4,4,5,5,3,4,4,5,2,5,4,1.2826307835612112,-0.11832225685750637,0.10814158597226156,0.7377990053125543,-0.07218680818738543
31,4,4,5,4,3,5,5,4,4,2,4,5,4,2,0.5712369994852059,-0.24262407619577972,-0.9321984807277455,1.2990040418724502,-1.7843085357291086
32,5,5,3,4,4,4,5,4,3,4,3,4,2,2,0.04855105126713704,0.22477826665346756,-1.9419571604323547,-0.440882807879602,0.33494960913513366
33,3,5,3,4,4,5,4,4,2,2,3,2,3,4,-1.5805315437216652,0.14073339280232294,-1.3845199515350186,1.04229031482809,-0.8447076674392956
34,5,4,5,5,5,5,5,5,5,1,3,4,5,5,0.8582616261248261,1.0113231570023955,0.6067561441377053,0.5483579441796668,-2.7284251593795292
35,4,5,4,3,4,5,5,3,4,3,4,4,4,5,-0.0811647911236825,-1.5788664846605176,0.2804598147382004,1.4206564879949084,-0.624491939991691
36,5,4,3,4,4,4,4,4,4,4,5,3,5,3,1.0823436834531541,0.1528453537122552,-0.45490199283273286,-0.783406114298678,0.4979506787399664
37,5,3,2,5,4,4,5,5,5,4,5,3,5,3,1.853782327789014,1.386216363330957,-0.41011133842187947,-1.102042856190262,0.6313257758020618
38,4,4,5,4,3,4,3,4,3,2,3,4,4,4,-0.6893079489315401,-0.3256307845057615,0.05144241892720553,-0.383719076361468,-1.7372477067660992
39,4,4,3,2,2,2,4,3,2,3,2,2,2,4,-1.1994219744795536,-2.981209051430805,-1.2151858176339498,-2.5109022380142623,-0.19898561133886755
40,3,4,3,4,4,4,2,3,4,3,3,3,4,4,-1.3297616906588403,-0.30941781724880074,0.20138354546179021,-0.4753382116019348,-0.06630647509192492
41,4,5,4,4,4,5,4,5,5,4,4,4,5,4,0.23518749333258857,0.18080676104152696,0.3469748494791257,0.8709836581926801,0.21502747425054455
42,4,5,3,3,2,5,3,3,4,4,3,3,5,3,-0.8114752200296952,-1.1124017222315417,-0.5746846436809755,1.4027384678491683,0.6815593739579826
43,4,5,4,5,4,5,4,5,5,5,4,4,4,4,0.1799740613796968,1.415804858334372,0.4299742137726398,0.47405061674687765,0.8188965041716276
44,4,5,4,5,5,5,4,5,4,4,4,4,4,5,-0.1414416441807958,1.3846087576333745,0.5899909433280777,0.41379619845862575,0.03282926163989707
45,4,5,4,4,3,3,1,4,3,3,3,2,5,4,-1.2146167381335742,0.0062741189968540945,0.08102322540580664,-2.2732529636047167,-0.2651347262333142
46,4,4,4,4,4,3,4,4,4,4,4,4,4,5,0.25177325728404154,-0.4844768218205291,0.9523352241569164,-2.059912480715991,0.012595778221910795
47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.3708344591818555,1.2958928179171236,1.3548546397473855,0.3025636746760163,0.2486735039589259
48,4,4,4,4,5,4,3,3,3,4,4,4,5,5,-0.36742148547171033,-0.27066120316742914,1.0852803223059897,-0.6974141477437277,0.020131248809273014
49,4,4,4,4,4,4,3,4,4,4,3,4,4,3,-0.38925458580046574,-0.034907663773285975,-0.11733580827271607,-0.4943858203509543,0.1259995596540377
50,4,3,4,4,4,3,4,5,3,3,3,3,3,4,-0.18447644858838128,-0.20790790006300267,-0.3356803712451754,-1.9578210303329746,-0.7488156231413712
51,4,4,3,3,4,4,2,4,4,3,3,4,4,3,-0.9008619731082876,-1.1567307381859089,-0.4919567925215555,-0.0974396390718216,-0.026563688717991363
52,4,4,4,4,4,3,2,4,3,4,4,1,4,4,-0.5503157480002578,0.018137768201408278,-0.08573335795311153,-2.375196360602181,0.39476669327608055
53,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1.019007140349495,1.3750762439083828,0.5270421452557664,0.5777581342089452,1.6184822163444699
54,4,5,5,5,5,5,4,5,4,4,4,3,5,4,0.1963298534594275,1.4978319576783488,0.2956699631850443,0.3125827085607864,-0.2129381599568838
55,5,3,4,3,2,3,4,4,4,4,4,3,4,5,0.6318875004876495,-1.686897761475548,0.6593382793429747,-1.6583957042884567,-0.020325374113996618
56,5,5,4,4,4,4,4,4,3,3,3,3,5,3,0.13501862891413863,0.18795253763847486,-0.8199116307491839,-0.6887537122044378,-0.6343288242556709
57,4,4,4,4,4,4,4,4,4,3,3,3,4,4,-0.1630688473310618,-0.20904660456750973,-0.05866619849167461,-0.5090684077190012,-0.6504871345079474
58,4,4,4,4,4,4,4,3,4,4,4,3,4,4,0.13471615619169355,-0.3426976339475368,0.25104247842311994,-0.5819756219128577,0.08577878020664391
59,3,5,5,5,5,5,3,5,4,4,3,4,5,3,-0.7450713765070852,1.4994757901949343,0.15115121914269394,0.5266713558090586,-0.12363944120378419
60,5,4,5,4,5,4,3,5,4,4,4,3,5,5,0.3698846192503657,0.13387967203617623,0.962508941289645,-0.9194442417383092,-0.2386999404340771
61,4,5,3,5,5,4,1,5,1,3,5,3,5,4,-1.1215289204450747,1.8381562113604417,-0.38983105306347726,-1.3781049306530921,0.0025443402097524467
62,5,4,4,4,4,4,4,4,3,3,4,3,3,3,0.277011415527499,0.045974485720109044,-1.0777826291232588,-0.6078216193344397,-0.6551658738305006
63,5,5,5,5,5,4,4,5,2,1,5,1,4,1,0.8344910654054346,1.7631287246923888,-2.710891027107136,-1.2880194502905657,-2.1316716512237925
64,3,5,4,4,3,4,4,3,3,5,4,5,5,5,-0.5967546875729001,-0.47039801127669456,1.2550292330230073,-0.42521496948328863,0.7267400080617474
65,5,5,4,5,5,5,3,5,5,3,3,5,5,5,-0.025944405031939365,1.3772797943138875,1.0129244865128992,0.4049951855484112,-0.7531520345425146
66,5,5,4,5,5,5,3,5,5,3,3,5,5,5,-0.025944405031939365,1.3772797943138875,1.0129244865128992,0.4049951855484112,-0.7531520345425146
67,3,5,4,4,5,4,3,4,3,4,3,3,4,5,-1.3536853568207992,-0.06218178493814777,0.5098066753359061,-0.6440078093005643,0.24148678514510674
68,4,4,4,5,4,4,2,4,3,4,4,3,4,5,-0.7620434645547189,1.1594354913331826,0.8064705412655145,-1.1379052675785823,0.09968567432774263
69,4,4,4,4,4,4,2,4,3,3,3,4,3,4,-1.2335468612136875,-0.08352901318039917,-0.0637515951506883,-0.490737578056812,-0.5728345026620503
70,4,4,5,4,3,4,3,4,4,5,4,4,4,5,-0.24905322083927608,-0.2997497229540613,1.2993325930951583,-0.5774893874751904,0.4325035748441464
71,4,4,4,5,5,5,2,4,4,4,4,4,4,5,-0.7134878182619592,1.2433160728485544,1.084877505671878,0.3907700850586727,0.08122095622690896
72,4,4,4,4,5,4,3,4,3,4,4,3,4,5,-0.5018065895305499,-0.039235759610674485,0.5720869615941275,-0.7552220782588216,0.1251271284003915
73,4,5,2,4,5,4,3,4,4,4,4,4,4,4,-0.4269561992249597,0.13736676635121825,-0.09584863146123136,-0.6849340215769227,0.9618081338976845
74,3,4,4,4,5,5,1,5,3,3,3,4,4,5,-2.0769070992164513,0.2283134842846695,0.6588463519560314,0.9093859190530229,-0.42293371856371736
75,4,4,4,3,4,4,4,3,3,3,4,3,4,4,-0.19838059310393943,-1.5198630892716434,-0.2501672946469873,-0.14977380974102078,-0.556603509900575
76,4,4,5,4,5,5,1,4,4,4,4,5,4,4,-0.9777239570254167,0.07994738067885378,0.9275984813506223,0.8451013578898772,-0.09230054261064144
77,4,4,5,5,5,5,5,4,3,3,4,4,3,4,0.10229521635061135,1.054778699415012,-0.172408917957189,0.6318031812109549,-1.2366686438125556
78,5,4,4,4,4,5,3,4,5,4,4,4,5,4,0.39625446421604293,0.08452677977739094,0.6225197113808074,0.7937631634515437,0.09122284974285434
79,4,4,4,4,4,5,2,4,4,5,5,4,5,4,-0.2421962357619318,0.18685216414425337,0.8243923441326756,0.7404560442134736,0.9862468113208529
80,4,5,4,4,4,5,2,4,4,3,3,4,3,4,-1.345380380853921,0.08386581435592286,-0.1190670858638594,0.9784923696146083,-0.435184572800893
81,4,4,5,5,4,5,2,4,5,4,4,3,4,4,-0.3278411731332291,1.1886814801225225,0.7745225966167227,0.41097227441982564,-0.12259696352935613
82,4,4,4,5,5,5,1,5,3,3,3,4,4,5,-1.5820245391259502,1.527399646293472,0.6847702412357949,0.40616428057593085,-0.6097612801125556
83,4,5,5,4,4,5,3,4,3,3,4,5,3,4,-0.8425431220787739,-0.045699044682560426,-0.041277595999640884,1.0351207495715316,-0.9245111345300713
84,4,5,4,3,4,4,4,3,4,4,4,3,5,5,-0.06048425708704514,-1.5263645292323382,0.7128215224220565,-0.29793087521524875,0.23651362604798232
85,4,4,4,5,4,4,3,4,4,4,4,3,5,5,-0.032077375408500385,1.0363144188972953,1.1085502926059132,-1.1255624399864235,0.04727876931616963
86,4,4,3,4,5,4,4,4,4,4,5,4,5,4,0.6002861502590795,-0.06316336518936344,0.36126431775823936,-0.6943554507091338,0.4754188495009081
87,4,3,4,4,5,4,3,4,4,5,4,4,5,4,0.13921265376791864,-0.06424243330162374,0.9574738509773341,-0.6806924460891746,0.7479564963336849
88,4,3,4,4,4,5,3,4,4,3,3,2,4,4,-0.57232028223051,0.01962359445105645,-0.10129047832362599,0.9193717001221623,-0.6043799303425161
89,4,4,3,4,4,5,3,4,4,4,4,4,4,5,-0.563214063095933,0.009038470858250873,0.6326587923270912,0.9085959570778135,0.43830437677743095
90,4,5,3,4,3,4,2,4,4,4,4,2,4,3,-0.6352115447488048,0.24065442166174095,-0.6883478353333603,-0.7341860386487612,0.858138119261418
